Common Name,Botanical Name,Family,Description
Devon's Cymbidium,Cymbidium devonianum,Orchidaceae," Sikkim Cymbidium is a medium sized orchid, growing on
trees and rocks, that has small, ovoid pseudobulbs enveloped by 5 to 6
scarious cataphylls. The plant carries	2-4 apical, nearly erect,
thick, leathery, stoutly stalked, channeled, oblong to lanceshaped,
blunt to somewhat pointed leaves which are oblique, with a short sharp
point, and have margin entire. The plant blooms on a basal, sharply
pendant, 15-35 flowered, up to more than 15-44 cm long, raceme that has
6 to 7, boat-shaped, pointed, spreading, purple, subtending sheaths and
triangular, pointed floral bracts and carry heavily textured, close
set, long-lasting, color variable, non fragrant flowers. Flowers are
2-3 cm across. Sepals and petals brownish to pale purple, with very
narrow pale greenish margins; lip of a darker shade mottled with spots
of even darker shade, also the base of the lip got a white patch and
two dark purplish violet spots on the sides. Sepals are nearly equal,
oblong to lanceshaped, pointed, dorsal erect and lateral wavy. Petals
are slightly smaller than the sepals, ovate-lanceshaped, spreading.
Both the sepals and petals are five nerved. Lip as long as petals,
oblong, base decurved. Devon's Cymbidium is found in eastern Himalayas,
Nepal, Bhutan, Myanmar, Thailand and Vietnam, at altitudes of 1000-2000
m. Flowering: May. 
"
Golden-Thread Orchid,Cymbidium ensifolium,Orchidaceae," Golden-Thread Orchid is a  medium sized, cold to
warm growing terrestrial orchid species with small pseudobulbs
enveloped completely by overlapping leaf-bearing sheaths each carrying
3 to 4, strap-shaped, thin, pointed, sometimes variegated leave. The
plat blooms in the fall on a basal, erect, a foot long, raceme-like
flowering stem that has a few to many, 3-9, long-lasting, fragrant
flowers. Golden-Thread Orchid, is found in Japan, China, Vietnam ,
Cambodia, Laos, Hong Kong to Sumatra and Java in evergreen broadleafed
plateau forests in soils dampened by mists and splash along steep
watercourses or on mossy limestone rocks at elevations of sealevel to
1500 m. "
Iris Cymbidium,Cymbidium iridioides,Orchidaceae," Iris Cymbidium is a large sized, cool to cold growing,
orchid growing on trees, and sometimes on rocks. It has elongate-ovoid,
bilaterally compressed pseudobulbs enveloped basally by distichous,
persistent leaf bases and carrying 4 to 7, narrowly lanceshaped to
linear-lanceshaped, pointed, mid-green leaves, 6-11 cm. Flowers are
borne in a nearly erect or horizontal, 1.5-3 ft long, 4-20-flowered
raceme, enveloped by scarious sheaths and triangular floral bracts.
Flowers are fragrant, 9-10 cm across, flower-stalk and ovary 4.0-4.5
cm; sepals and petals yellowish green, with 7-9 brownish or reddish
brown longitudinal stripes; lip yellowish, with reddish brown stripes
on lateral lobes and similarly colored mottling on mid-lobe. Sepals are
narrowly obovate-oblong, tip pointed. Petals are slightly sickle
shaped, narrowly ovate-oblong, 35-46 x 7-9 mm, not twisted, tip
pointed; lip ovate-triangular, slightly shorter than petals, 3-lobed;
lateral lobes shortly fringed with hairs; mid-lobe strongly recurved,
margin erose and wavy. Column is arcuate, 2.5-3.0 cm. Iris Cymbidium is
found in the Himalayas, from Kumaun to Bhutan, NE India, N. Burma, at
altitudes of 1800-2800 m. 
Flowering: August-December. 
"
Low's Cymbidium,Cymbidium lowianum,Orchidaceae," Low's Cymbidium orchid is probably the most widespread of all the orchid 
species. The bulky Low's Cymbidium has oval pseudobulbs bearing up to 10 
strap-shaped pointed leaves that reach a length of 30 in. The flower 
spikes can become a foot long and bears up to 26 flowers that are very 
long lasting, up to 4 inches, with olive -green to yellowish tepals and a 
somewhat yellow lip with a red-edged middle lobe. The inflorescence is 
arched. The plant is native to Burma and the Himalayas. 
Flowering: January-April. "
Large Root Cymbidium,Cymbidium macrorhizon,Orchidaceae," Large Root Cymbidium is a leafless terrestrial orchid, growing up to a 
foot tall. This picture is the first record of this orchid from Jharkand!
Rhizomes are scaly, fleshy, branched. Scape is greenish with sheaths. 
Inflorescence is very lax, with 4-8 large flowers. Bracts are small, 
lanceshaped, 5-12 mm long. Sepals are pale brownish-olivgreen with some 
purple, pointed, up to 3 x 0.5 cm. Petals are somewhat shorter and 
broader, curved over the column. Lip is obscurely 3-lobed, whitish, marked 
with crimson blotches, ovate in outline, 2 cm long. Side-lobes are narrow, 
rounded, disk with a pair of thick ridges between the side lobes. Column 
is up to 1.5 cm long, with inner surface crimson. Flowering: July-August. "
Masters Cymbidium,Cymbidium mastersii,Orchidaceae," Master's Cymbidium is a large sized orchid growing
on tress, rocks or occasionally on the ground on humus, moss or rotting
wood. It is named for John William Masters, 19th century gardener who
worked at the Botanical Garden in Calcutta. It has elongate-ellipsoid,
stem-like pseudobulbs carrying 6-17, leaves in two ranks. which are
strap-shaped, arched, tapering,
unequally bilobed at the tip. It blooms on an axillary, somewhat erect,
few to several (2-15) flowered, sheathed, 10-12 inches long
inflorescence with close set, fragrant flowers. Master's Cymbidium is
found in Assam, eastern Himalayas, Bhutan, Myanamar, Myanamar, N.
Thailand and China at elevations of 900-2400 m, in evergreen forests.
"
Lemon Grass,Cymbopogon citratus,Poaceae," Lemon Grass is a fragrant herb which is increasingly being used in teas, 
beverages, herbal medicines, and Eastern inspired soups and other dishes. 
This grass grows in dense clumps that can grow to 6 ft in height and about 
4 ft in width, although it commonly seen much smaller. Leaves are 
strap-like, 1.3-2.5 cm wide, to 3 ft long, and have gracefully drooping 
tips. The evergreen leaves are bright bluish-green and release a citrus 
aroma when crushed. The fragrant leaves are the part that is used as 
flavoring. Leaves are steam distilled to extract lemongrass oil. The lemon 
grass plants rarely produce flowers. In fact, there are many cultivars 
which never flower. Lemon grass is native to India, Sri Lanka and 
South-East Asia. It is found growing naturally in tropical grasslands. It 
is also extensively cultivated throughout tropical Asia. "
Cochin Grass,Cymbopogon flexuosus,Poaceae," Cochin Grass is a perennial grass arising from a short
stout rhizome. Culms (stems) are robust, up to 3 m tall, 1-2 cm in diameter.
Leaf sheaths are hairless, ears often present. Leaves are linear, up to 1 m
long, 1.5 cm wide, rough, base gradually narrowed, tip threadlike.
Ligules are 2-5 mm. Flowers are borne in very large, lax, compound panicles
grayish green, up to 60 cm or more, nodes bearded, branches numerous, drooping.
Spatheoles are 1-2 cm; racemes 1-1.7 cm.
Stalkless spikelets are narrowly elliptic-oblong, 4-4.5 x 0.8-1 mm. Lower
glume flat or shallowly
concave, usually slightly transversely wrinkled, sharply 2-keeled
throughout, keels narrowly winged, wings 0.1 mm wide or less, obscurely
3-veined between keels; upper lemma awned; awn 0.8–1 cm. Stalked 
spikelets are 3.5-4 mm. "
Pretty-Wing Swallow-Wort,Cynanchum callialatum,Apocynaceae," Pretty-Wing Swallow-Wort is a twiner with leaves
5-8 x 3-4.5 cm, elliptic-oblong or linear-oblong, pointed. Leaves are 
heart-shaped at base, hairless, glaucous below, lateral nerves 7-9
pairs, intercostae faint; leaf-stalk up to 2 cm long. Flowers are borne
in umbel-like cymes, in leaf-axils. Flower-cluster-stalks are 3-4 cm
long. Flowers are small; calyx 5-partite. Flowers are white, 0.5 cm
long, divided nearly to the base, petals oblong, pointed; corona of 5
erect blunt, bifid lobes, with shorter lobes between them; pollinia
waxy, without pellucid margins; style conical at tip. Seed-pods are
oblong-lanceshaped, 5-8 x 1-1.5 cm, with 2 wings especially prominent
at tip. Pretty-Wing Swallow-Wort is found in India, Sri Lanka and
Myanmar. Flowering: October-March.  
"
Dalhousie Swallow-Wort,Cynanchum dalhousiae,Apocynaceae," Dalhousie Swallow-Wort is a twiner characterized by
greening flowers with narrow-oblong petals turned back.  Flowers are
borne in stalked clusters arising at nodes. Stalks are about 7.5 mm
long. Flower-stalks are about 8-9 mm long, velvety. Bracts are about
1.5 mm long, linear. Sepal cup is 1.5 mm long, sepals ovate, almost
reaching the base, velvety, particularly on the margin. Flowers are
about 5 mm long, petals almost reaching the base, oblong, hairless,
becoming reflexed. Corona is bell-shaped, 5-10 toothed, about 4 mm
long, with 5 small scales near the base within. The plant has slender
branches with a line of hairs running along the inter-node. Leaves,
7.5-12.5 cm long, 1.2-2.5 cm wide, are oblong-lanceshaped, deeply
heart-shaped at base, minutely velvet-hairy on both sides, pale on the
under surface. Follicles are 10 cm x 1.2-1.3 cm, smooth pointed.
Dalhousie Swallow-Wort is found in the Himalayas, from Himachal Pradesh
to Nepal, at altitudes of 1500-2500 m. Flowering: July-August. "
Cardoon,Cynara cardunculus,Asteraceae ,"Cardoon is an
old Victorian favourite, once grown as a vegetable and blanched for use
rather like celery. Cardoon is now valued for its striking silvery giant
thistle like shape which adds a theatrical touch to a border.
Cardoon is a magnificent perennial native to southern Europe, with spiny,
gray-green foliage and purple, thistle-like flowers to five feet.
In summer tall
flower stems are topped by fat thistle buds which resemble small globe
artichokes - the plants are close cousins. The buds finally open into large
purple thistles which attract lots of bees; the dead heads often dry quite
attractively on the plants.  Native around the Mediterranean region, cardoons
are thought to be the wild progenitors of the globe artichoke, Cynara scolymus
- a plant only known in cultivation. The fleshy leaf bases of the cardoon are
  sometimes eaten cooked or raw, like celery. Both artichokes and cardoons
have specialized bracts (phyllaries) that surround each composite flower head,
the inner, soft base of which is edible in the artichoke. The name Cynara
comes from the Greek kyon, a dog, a reference to the tooth-shaped phyllaries.
"
Hill Blepharis,Cynarospermum asperrimum,Acanthaceae,"  Hill Belpharis is an annual prostrate herb, with
20-60 cm long stems, rooting at nodes. Oppositely arranged,
ovate-lancelike leaves are 5-8 cm long and hairy. Leaf-stalks are about
1 cm long. Stalkless flowers occur either singly in leaf axils or in
spikes at the end of branches. The blue flowers are 2-lipped, 2-3 cm
across. Upper lip is almost absent. The lower lip is blue with dark
veins and shallowly 3-lobed. Flowers are yellowish white in throat.
Common in Western Ghats. Flowering: November-April.
"
Bermuda Grass,Cynodon dactylon,Poaceae," Bermuda Grass is a grass native to north Africa, Asia and Australia and 
southern Europe. The name ""Bermuda Grass"" derives from its abundance as an 
invasive species on Bermuda; it does not occur naturally there. The blades 
are a grey-green colour and are short, usually 4-15 cm long with rough 
edges. The erect stems can grow 1-30 cm, rarely to 3 ft, tall. The stems 
are slightly flattened, often tinged purple in color. The seed heads are 
produced in a cluster of 3–7 spikes (rarely two) together at the top of 
the stem, each spike 3–6 cm long. It has a deep root system. In drought 
situations with penetrable soil, the root system can grow to over 2 m 
deep, though most of the root mass is less than 60 cm under the surface. 
The grass creeps along the ground and root wherever a node touches the 
ground, forming a dense mat. Bermuda Grass reproduces through seeds, 
through runners and rhizomes.  "
Common Hill Borage,Cynoglossum coelestinum,Boraginaceae," Common hill borage is a flower which looks like a
beautiful white version of the famous blue Forget-Me-Not. The white, or
pale blue flowers, 6-10 mm across, have a shape similiar to forget-me
nots, but have a blue shaded center. It is an erect perennial herb, 1-2
m tall, with red stems and branches. Basal leaves are very large, up to
25 cm long, ovate-heart-shaped, carried on a foot long red stalks. Stem
leaves are smaller, 5 cm long, carried on short stalks. Flowers are
borne in forked racemes on branch ends. Common hill borage is native to
India, found in Western Ghats. 
"
Lanceleaf Forget-Me-Not,Cynoglossum lanceolatum,Boraginaceae," Lanceleaf Forget-Me-Not is an erect much branched, biennial or perennial 
herb, growing up to 1.2 m tall. Stem and branches are covered with rigid 
white hairs 1-2 mm long. Basal leaves are stalked lanceshaped, including 
stalk 10-20 x 2-4 cm. Upper surface is covered uniformly with thin hairs, 
lower surface is densely hairy. Stem leaves similar, but smaller and 
nearly stalkless. Flowers are borne in cymes all along the branches, white 
to sky blue. Flower stalks are very short in flower, up to 3 mm and 
reflexed in fruit. Sepals are densely hairy externally, hairless within, 
up to 2 mm long in fruit, spreading. Petals are ovate-obtuse. Flower 
throat scales are broader than long. Fruits consist of 4 small nutlets, 
covered in sticky hairs.
Lanceleaf Forget-Me-Not is found in Africa, W. Asia, Himalaya, India, Ceylon, Burma, east to China, Malaysia, at altitudes of 150-3200 m.
Flowering: June-August. "
Malabar Hill Borage,Cynoglossum malabaricum,Boraginaceae," Malabar Hill Borage is an erect annual herb, growing to 1 m tall. The 
plant is branched from the base, branches are smooth, green. Lower leaves 
are 10-15 cm, heart-shaped or ovate, alternately arranged on the stem by 
long stalks 10-15 long. Upper leaves are smaller, up to 5 cm, wedge-
shaped, stalkless, and net-veined. Small blue flowers are born in 
corymb-like racemes at the end of branches. Flower-stalk is short, flowers 
are 1 cm across, of a uniform dark blue color, cup-shaped. Petals are 
rounded, veined with purple. Stamens are 5 with short filaments. Malabar 
Hill Borage is seen in Western Ghats. Flowering: August-September. "
